ID,Day,Date,Fact,Slot,Month,Title,Category,Evidence,Confidence,Source URL,Subcategory,Source title,Source domain,Verification status
FACT-2027-02-01-S01,1,2027-02-01,Earth's primitive ocean formed when water vapor released by cooling molten rocks condensed and covered the crust.,1,February,Ocean Formation,Science,"As the molten rocks cooled, they released water vapor and other gases. Eventually, the water vapor condensed and covered the crust with a primitive ocean.",high,https://education.nationalgeographic.org/resource/all-about-the-ocean/,Earth formation,All About the Ocean,education.nationalgeographic.org,verified
FACT-2027-02-01-S02,1,2027-02-01,"The sun's heat causes ocean water to evaporate, and the resulting water vapor condenses into clouds that release precipitation.",2,February,Ocean Water Cycle,Nature,"The sun’s heat causes water to evaporate ... The water vapor condenses to form clouds, which release their moisture as rain or other kinds of precipitation.",high,https://education.nationalgeographic.org/resource/all-about-the-ocean/,Water cycle,All About the Ocean,education.nationalgeographic.org,verified
FACT-2027-02-01-S03,1,2027-02-01,Child mortality is measured as the share of newborns who die before age five.,3,February,Child Mortality Definition,Human Body,“Child mortality is measured as the share of newborns that die before age five.”,high,https://ourworldindata.org/12-key-metrics,Child mortality,(1) Extreme Poverty,ourworldindata.org,verified
FACT-2027-02-01-S04,1,2027-02-01,The World Statistics Pocketbook 2025 edition is the forty-ninth in a series of annual compilations.,4,February,Annual compilation series,History,"“The World Statistics Pocketbook 2025 edition (Series V, No. 49) is the forty-ninth in a series of annual compilations”",high,https://desapublications.un.org/publications/world-statistics-pocketbook-2025,Publication history,World Statistics Pocketbook 2025 | DESA Publications,desapublications.un.org,verified
FACT-2027-02-01-S05,1,2027-02-01,The publication presents one-page profiles for 30 world geographical regions.,5,February,Regional profiles,Geography,“one-page profiles for 30 world geographical regions”,high,https://desapublications.un.org/publications/world-statistics-pocketbook-2025,Regional statistics,World Statistics Pocketbook 2025 | DESA Publications,desapublications.un.org,verified
FACT-2027-02-01-S06,1,2027-02-01,"Giraffes, elephants, owls, antelope, caracals, baboons, lions, swifts, and rock hyraxes are shown living in and around the Namib Desert.",6,February,Animals of the Namib Desert,Animals,Here are a few animals shown living in and around the Namib Desert: giraffes ... rock hyraxes.,high,https://education.nationalgeographic.org/resource/desert-created-water/,Desert wildlife,A Desert Created by Water,education.nationalgeographic.org,verified
FACT-2027-02-01-S07,1,2027-02-01,Seafloor spreading forms new seafloor when molten rock wells up from a mid-ocean ridge rift.,7,February,Seafloor Spreading,Science,"Molten rock from Earth’s interior wells up from the rift, building new seafloor in a process called seafloor spreading.",high,https://education.nationalgeographic.org/resource/all-about-the-ocean/,Plate tectonics,All About the Ocean,education.nationalgeographic.org,verified
FACT-2027-02-01-S08,1,2027-02-01,The ocean helps balance global temperatures by absorbing heat in summer and releasing it in winter.,8,February,Ocean Temperature Regulation,Nature,The ocean helps balance global temperatures by absorbing heat in the summer and releasing it in the winter.,high,https://education.nationalgeographic.org/resource/all-about-the-ocean/,Climate regulation,All About the Ocean,education.nationalgeographic.org,verified
FACT-2027-02-01-S09,1,2027-02-01,The fertility rate is the average number of children per woman.,9,February,Fertility Rate,Human Body,“Fertility rate — the average number of children per woman.”,high,https://ourworldindata.org/12-key-metrics,Fertility,(1) Extreme Poverty,ourworldindata.org,verified
FACT-2027-02-01-S10,1,2027-02-01,The statistical indicators in the World Statistics Pocketbook are prepared by the United Nations Statistics Division of the Department of Economic and Social Affairs.,10,February,Publishing organization,History,“prepared by the United Nations Statistics Division of the Department of Economic and Social Affairs”,high,https://desapublications.un.org/publications/world-statistics-pocketbook-2025,United Nations publications,World Statistics Pocketbook 2025 | DESA Publications,desapublications.un.org,verified
