ID,Day,Date,Fact,Slot,Month,Title,Category,Evidence,Confidence,Source URL,Subcategory,Source title,Source domain,Verification status
FACT-2027-01-01-S01,1,2027-01-01,"Of 220 unique cortical-thickness-associated loci, 95 showed evidence of interaction with depression or cardiovascular conditions.",1,January,Genetic interactions,Human Body,The abstract states that 95 of 220 loci showed evidence of interaction with depression or cardiovascular conditions.,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC11189393/,Gene-environment interaction,Genetic influences on brain and cognitive health and their interactions with cardiovascular conditions and depression,pmc.ncbi.nlm.nih.gov,verified
FACT-2027-01-01-S02,1,2027-01-01,The Florida Wildlife Corridor is a proposed network of connected land and water stretching across Florida to support native wildlife.,2,January,Florida Wildlife Corridor definition,Geography,The source defines the Florida Wildlife Corridor as a proposed connected land-and-water network across the state designed to support native wildlife.,high,https://education.nationalgeographic.org/resource/animal-migration/,Conservation networks,Animal Migration,education.nationalgeographic.org,verified
FACT-2027-01-01-S03,1,2027-01-01,Human-specific NOTCH2NL gene duplication enhances Notch signaling in neural stem and progenitor cells and is associated with prolonged neurogenesis.,3,January,NOTCH2NL and cortical growth,Human Body,"The source lists NOTCH2NL as enhancing Notch signaling, increasing progenitors and neurons, and enlarging the cortex.",high,https://pmc.ncbi.nlm.nih.gov/articles/PMC10926850/,Developmental genetics,Genetics of human brain development - PMC,pmc.ncbi.nlm.nih.gov,verified
FACT-2027-01-01-S04,1,2027-01-01,"Mineral commodities are used in smartphones, roads, homes, and food.",4,January,Mineral uses,Everyday Life,The source identifies mineral commodities as starting ingredients in each of these areas.,high,https://www.usgs.gov/science/science-explorer/minerals/minerals-101,Materials,Minerals 101 | U.S. Geological Survey,www.usgs.gov,verified
FACT-2027-01-01-S05,1,2027-01-01,"Ice worms are small worms that live in glacial ice in Alaska, Washington, Oregon, and British Columbia.",5,January,Ice worms,Animals,The source identifies these locations as places where ice worms live in glacial ice.,high,https://www.usgs.gov/faqs/what-glacier?qt-news_science_products=0,Glacial fauna,What is a glacier?,www.usgs.gov,verified
FACT-2027-01-01-S06,1,2027-01-01,An ocean-literate person understands essential principles and fundamental concepts about how the ocean functions.,6,January,Ocean-literate knowledge,Ocean & Marine,The source states that an ocean-literate person understands principles and concepts about the functioning of the ocean.,high,https://oceanservice.noaa.gov/education/literacy.html,Ocean education,Ocean and Climate Literacy,oceanservice.noaa.gov,verified
FACT-2027-01-01-S07,1,2027-01-01,The listed NMEA ocean literacy materials are licensed under Creative Commons CC BY-NC-SA 4.0.,7,January,Creative Commons license,Technology,The source explicitly identifies the CC BY-NC-SA 4.0 license.,high,https://oceanservice.noaa.gov/education/literacy.html,Licensing and copyright,Ocean and Climate Literacy,oceanservice.noaa.gov,verified
FACT-2027-01-01-S08,1,2027-01-01,Shaking at a site with soft sediments can last three times as long as shaking at a stable granite bedrock site.,8,January,Soft-soil amplification,Nature,USGS gives this explicit comparison of shaking duration by geology.,high,https://www.usgs.gov/programs/earthquake-hazards/earthquake-facts-earthquake-fantasy,Ground motion,Earthquake Facts & Earthquake Fantasy | U.S. Geological Survey,www.usgs.gov,verified
FACT-2027-01-01-S09,1,2027-01-01,The Alpide seismic belt accounts for about 17 percent of the world's largest earthquakes.,9,January,Alpide seismic belt,Geography,The source describes the Alpide belt from Java and Sumatra through the Himalayas and Mediterranean and gives its share as about 17 percent.,high,https://www.usgs.gov/programs/earthquake-hazards/earthquake-facts-earthquake-fantasy,Seismic zones,Earthquake Facts & Earthquake Fantasy | U.S. Geological Survey,www.usgs.gov,verified
FACT-2027-01-01-S10,1,2027-01-01,"In the saturated zone, water fills pores between rock particles and fractures in rocks.",10,January,Saturated zone storage,Science,USGS identifies pores and rock fractures as spaces filled with water below the water table.,high,https://www.usgs.gov/water-science-school/science/groundwater-what-groundwater,Hydrogeology,Groundwater: What is Groundwater? | U.S. Geological Survey,www.usgs.gov,verified
FACT-2027-01-01-S11,1,2027-01-01,The two main components of an ocean current are speed and direction.,11,January,Current components,Ocean & Marine,NOAA identifies speed and direction as the two main current components.,high,https://oceanservice.noaa.gov/navigation/tidesandcurrents/,Ocean Currents,Tides and Currents,oceanservice.noaa.gov,verified
FACT-2027-01-01-S12,1,2027-01-01,High-frequency radar systems in the Integrated Ocean Observing System develop surface-current maps for U.S. Coast Guard search and rescue operations.,12,January,Radar maps for search and rescue,Technology,NOAA describes the radar mapping system and its Coast Guard use.,high,https://oceanservice.noaa.gov/navigation/tidesandcurrents/,Search and Rescue,Tides and Currents,oceanservice.noaa.gov,verified
