ID,Day,Date,Fact,Slot,Month,Title,Category,Evidence,Confidence,Source URL,Subcategory,Source title,Source domain,Verification status
FACT-2027-06-01-S01,1,2027-06-01,The blue whale is the largest animal known to have ever existed.,1,June,Largest animal ever,Animals,Britannica identifies Balaenoptera musculus as largest animal ever.,high,https://www.britannica.com/science/What-Is-the-Largest-Animal-on-Earth,Marine mammals,What Is the Largest Animal on Earth?,www.britannica.com,verified
FACT-2027-06-01-S02,1,2027-06-01,An average adult human body contains approximately 30 trillion human cells.,2,June,Human Cell Count,Human Body,NIGMS notes: '30 Trillion That's about how many human cells adults have in their bodies.',medium,https://nigms.nih.gov/biobeat/2024/09/cells-by-the-numbers-2,Cells,Cells by the Numbers | National Institute of General Medical Sciences,nigms.nih.gov,verified
FACT-2027-06-01-S03,1,2027-06-01,About 71% of Earth's surface is covered by water.,3,June,Earth surface water coverage,Nature,USGS states about 71 percent of Earth's surface is water-covered.,high,https://www.usgs.gov/water-science-school/science/how-much-water-there-earth,Earth water,How Much Water is There on Earth?,www.usgs.gov,verified
FACT-2027-06-01-S04,1,2027-06-01,Blue whales weigh approximately 150 metric tons.,4,June,Blue whale typical mass,Animals,Britannica gives approximately 150 tons.,high,https://www.britannica.com/animal/blue-whale,Marine mammals,Blue whale,www.britannica.com,verified
FACT-2027-06-01-S05,1,2027-06-01,"While human infants are born with approximately 270 bones, these fuse during development to result in around 206 bones in a typical human adult.",5,June,Adult Bone Count,Human Body,"NCBI states: 'Human infants typically have 270 bones, fusing into around 206 in the human adult.'",medium,https://www.ncbi.nlm.nih.gov/sites/books/NBK537199/,Anatomy,"Anatomy, Bones - NCBI Bookshelf",www.ncbi.nlm.nih.gov,verified
FACT-2027-06-01-S06,1,2027-06-01,Earth contains approximately 1.386 billion cubic kilometers of water.,6,June,Total global water volume,Nature,"USGS estimates total water volume at 1,386,000,000 km³.",high,https://www.usgs.gov/water-science-school/science/how-much-water-there-earth,Water cycle,How Much Water is There on Earth?,www.usgs.gov,verified
FACT-2027-06-01-S07,1,2027-06-01,Oceans contain about 96.5% of all Earth's water.,7,June,Ocean share of Earth water,Ocean & Marine,"USGS table gives oceans, seas and bays 96.54% of total water.",high,https://www.usgs.gov/water-science-school/science/how-much-water-there-earth,Oceanography,How Much Water is There on Earth?,www.usgs.gov,verified
FACT-2027-06-01-S08,1,2027-06-01,Oceans supply about 90% of the evaporated water entering the water cycle.,8,June,Ocean evaporation contribution,Ocean & Marine,USGS states oceans supply about 90% of evaporated water.,high,https://www.usgs.gov/water-science-school/science/oceans-and-seas-and-water-cycle,Ocean circulation,Oceans and Seas and the Water Cycle,www.usgs.gov,verified
FACT-2027-06-01-S09,1,2027-06-01,Most seismicity at Yellowstone is caused by water released from crystallizing magma.,9,June,Water from crystallizing magma causes most Yellowstone seismicity,Science,The text states that most Yellowstone seismicity is caused by water coming from crystallizing magma.,high,https://www.usgs.gov/observatories/yvo/news/water-released-crystallizing-magma-can-trigger-earthquakes-yellowstone,Seismology,Water Released from Crystallizing Magma can Trigger Earthquakes in Yellowstone | U.S. Geological Survey,www.usgs.gov,verified
FACT-2027-06-01-S10,1,2027-06-01,"Pressurized fluids in a fault zone can partially counter the force holding fault blocks together, making the blocks easier to slip.",10,June,Pressurized fluids can trigger earthquakes,Science,The text explains that pressurized fluids partially counter the force pressing the two blocks together and make them easier to slip along the fault.,high,https://www.usgs.gov/observatories/yvo/news/water-released-crystallizing-magma-can-trigger-earthquakes-yellowstone,Earthquakes,Water Released from Crystallizing Magma can Trigger Earthquakes in Yellowstone | U.S. Geological Survey,www.usgs.gov,verified
