ID,Day,Date,Fact,Slot,Month,Title,Category,Evidence,Confidence,Source URL,Subcategory,Source title,Source domain,Verification status
FACT-2026-10-01-S01,1,2026-10-01,The Moon is Earth’s only natural satellite.,1,October,Earth’s only natural satellite,Space,NASA explicitly states that the Moon is Earth’s only natural satellite.,high,https://science.nasa.gov/moon/facts/,Moon,Moon Facts - NASA Science,science.nasa.gov,verified
FACT-2026-10-01-S02,1,2026-10-01,"The Moon is approximately 238,855 miles, or 384,400 kilometers, from Earth on average.",2,October,Average Earth–Moon distance,Space,"NASA gives the Moon’s average distance as 238,855 miles or 384,400 kilometers.",high,https://science.nasa.gov/moon/facts/,Moon,Moon Facts - NASA Science,science.nasa.gov,verified
FACT-2026-10-01-S03,1,2026-10-01,"Earth and the Moon are tidally locked, so the same lunar hemisphere always faces Earth.",3,October,Tidal locking of Earth and Moon,Space,NASA states that Earth and Moon rotations are synchronized and that the same hemisphere faces Earth.,high,https://science.nasa.gov/moon/facts/,Moon,Moon Facts - NASA Science,science.nasa.gov,verified
FACT-2026-10-01-S04,1,2026-10-01,A high electrical resistance in the filament caused heat to build up in the filament rather than in the feed wires from the generator.,4,October,High filament resistance helped concentrate heat in the lamp,Science,The source explains that high resistance was critical because it made heat build up in the element instead of the feed wires.,high,https://americanhistory.si.edu/explore/stories/edisons-light-bulb-turns-135,Electrical resistance,Untitled source,americanhistory.si.edu,verified
FACT-2026-10-01-S05,1,2026-10-01,Edison's carbon filament was enclosed in a glass bulb because carbon would burn when exposed to air.,5,October,Edison's carbon filament had to be enclosed in glass,Science,The source states that carbon would burn in air and therefore had to be enclosed in a glass bulb with the air evacuated.,high,https://americanhistory.si.edu/explore/stories/edisons-light-bulb-turns-135,Vacuum technology,Untitled source,americanhistory.si.edu,verified
FACT-2026-10-01-S06,1,2026-10-01,The first constant electric light was demonstrated in 1835.,6,October,The first constant electric light was demonstrated in 1835,Science,The source states that the first constant electric light was demonstrated in 1835.,high,https://www.energy.gov/articles/history-light-bulb,Electric lighting,The History of the Light Bulb | Department of Energy,www.energy.gov,verified
FACT-2026-10-01-S07,1,2026-10-01,"In the early 1930s, Portia Sperry designed, produced, and sold a cloth doll with help from local farmwomen in rural Indiana.",7,October,Portia Sperry sold cloth dolls through a local farmwomen's network,Money & Economics,The source says Sperry created and sold the Abigail doll with the help of a network of local farmwomen in her rural Indiana community.,high,https://americanhistory.si.edu/explore/topics/invention-and-innovation,Entrepreneurship,Invention and Innovation | National Museum of American History,americanhistory.si.edu,verified
FACT-2026-10-01-S08,1,2026-10-01,CFC refrigerants were later linked to ozone depletion and phased out by governments after the Montreal Protocol in the 1990s.,8,October,CFCs were linked to ozone depletion,Nature,The source states that CFCs became linked to ozone depletion and were eventually phased out globally after the Montreal Protocol.,high,https://www.energy.gov/articles/history-air-conditioning,Atmosphere,History of Air Conditioning | Department of Energy,www.energy.gov,verified
FACT-2026-10-01-S09,1,2026-10-01,"Portia Sperry's Abigail doll enterprise brought thousands of dollars to women in Brown County, Indiana, during the Great Depression.",9,October,The Abigail doll generated income for Indiana women during the Great Depression,Money & Economics,The source states that Sperry's efforts brought thousands of dollars to the women of Brown County during the Great Depression.,high,https://americanhistory.si.edu/explore/topics/invention-and-innovation,Entrepreneurship,Invention and Innovation | National Museum of American History,americanhistory.si.edu,verified
FACT-2026-10-01-S10,1,2026-10-01,Coral reefs protect coastlines from storms and erosion.,10,October,Coral reefs protect coastlines,Nature,NOAA lists protection from storms and erosion among the benefits of coral reef ecosystems.,high,https://www.noaa.gov/education/resource-collections/marine-life/coral-reef-ecosystems,Ecosystem services,Coral reef ecosystems | National Oceanic and Atmospheric Administration,www.noaa.gov,verified
