ID,Day,Date,Fact,Slot,Month,Title,Category,Evidence,Confidence,Source URL,Subcategory,Source title,Source domain,Verification status
FACT-2027-03-01-S01,1,2027-03-01,The planetary system is called the solar system because “solar” describes things related to the Sun and comes from the Latin word “solis.”,1,March,Name of the planetary system,Space,"Our planetary system is called “the solar system” because we use the word “solar” to describe things related to our star, after the Latin word for Sun, ""solis.""",high,https://science.nasa.gov/solar-system/solar-system-facts/,Astronomy,Solar System: Facts - NASA Science,science.nasa.gov,verified
FACT-2027-03-01-S02,1,2027-03-01,"Water weighs 62.416 pounds per cubic foot at 32°F and 1,000 kilograms per cubic meter.",2,March,Water weight at 32°F,Science,"The source states: ""Weight: 62.416 pounds/cubic foot at 32°F; 1,000 kilograms/cubic meter.""",high,https://www.usgs.gov/water-science-school/science/facts-about-water,Chemistry of water,Facts About Water | U.S. Geological Survey,usgs.gov,verified
FACT-2027-03-01-S03,1,2027-03-01,Life began in the ocean over 3.5 billion years ago.,3,March,Life began in the ocean,Ocean & Marine,"The video transcript states: ""The ocean is where life began over 3.5 billion years ago.""",high,https://oceanservice.noaa.gov/ocean/30days/,Oceanography,Celebrate the Ocean,oceanservice.noaa.gov,verified
FACT-2027-03-01-S04,1,2027-03-01,Water has a density of 0.95865 gram per cubic centimeter at 212°F.,4,March,Water density at 212°F,Nature,"The source states: ""0.95865 gram/cc at 212°F.""",high,https://www.usgs.gov/water-science-school/science/facts-about-water,Water properties,Facts About Water | U.S. Geological Survey,usgs.gov,verified
FACT-2027-03-01-S05,1,2027-03-01,"The Arabian Peninsula chronology encompasses present-day Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates, and Yemen.",5,March,Arabian Peninsula,History,"The source states that the Arabian Peninsula chronology “encompasses present-day Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates, and Yemen.”",high,https://metmuseum.org/toah/chronology/,World history,Chronology | Heilbrunn Timeline of Art History | The Metropolitan Museum of Art,metmuseum.org,verified
FACT-2027-03-01-S06,1,2027-03-01,The Metropolitan Museum of Art publishes the Heilbrunn Timeline of Art History.,6,March,Heilbrunn Timeline of Art History,Ancient Civilizations,"The source heading states “Heilbrunn Timeline of Art History,” and the source title identifies it as “Heilbrunn Timeline of Art History | The Metropolitan Museum of Art.”",high,https://metmuseum.org/toah/chronology/,Ancient world chronology,Chronology | Heilbrunn Timeline of Art History | The Metropolitan Museum of Art,metmuseum.org,verified
FACT-2027-03-01-S07,1,2027-03-01,"The solar system orbits the center of the Milky Way at about 515,000 mph (828,000 kph).",7,March,Solar system orbital speed,Space,"Our solar system orbits the center of the galaxy at about 515,000 mph (828,000 kph).",high,https://science.nasa.gov/solar-system/solar-system-facts/,Astronomy,Solar System: Facts - NASA Science,science.nasa.gov,verified
FACT-2027-03-01-S08,1,2027-03-01,Water weighs 61.998 pounds per cubic foot at 100°F and 993 kilograms per cubic meter.,8,March,Water weight at 100°F,Science,"The source states: ""Weight: 61.998 pounds/cubic foot at 100°F; 993 kilograms/cubic meter.""",high,https://www.usgs.gov/water-science-school/science/facts-about-water,Chemistry of water,Facts About Water | U.S. Geological Survey,usgs.gov,verified
FACT-2027-03-01-S09,1,2027-03-01,The ocean covers over 70% of Earth's surface.,9,March,The ocean covers most of Earth's surface,Ocean & Marine,"The video transcript states: ""The ocean covers over 70% of the Earth's surface.""",high,https://oceanservice.noaa.gov/ocean/30days/,Oceanography,Celebrate the Ocean,oceanservice.noaa.gov,verified
FACT-2027-03-01-S10,1,2027-03-01,Water is called the universal solvent because it dissolves more substances than any other liquid.,10,March,Water as a universal solvent,Nature,"The source states: ""Water is called the \"" universal solvent\"" because it dissolves more substances than any other liquid.""",high,https://www.usgs.gov/water-science-school/science/facts-about-water,Water properties,Facts About Water | U.S. Geological Survey,usgs.gov,verified
FACT-2027-03-01-S11,1,2027-03-01,The China chronology encompasses present-day China.,11,March,China,History,The source states that the China chronology “encompasses present-day China.”,high,https://metmuseum.org/toah/chronology/,World history,Chronology | Heilbrunn Timeline of Art History | The Metropolitan Museum of Art,metmuseum.org,verified
FACT-2027-03-01-S12,1,2027-03-01,The chronology collection contains 291 entries.,12,March,Chronology collection size,Ancient Civilizations,The source displays “## Chronology(291)”.,high,https://metmuseum.org/toah/chronology/,Ancient world chronology,Chronology | Heilbrunn Timeline of Art History | The Metropolitan Museum of Art,metmuseum.org,verified
FACT-2027-03-01-S13,1,2027-03-01,"The United States Constitution was ratified on June 21, 1788, and includes the intellectual property clause in Article I, Section 8, Clause 8.",13,March,U.S. Constitution ratified,Inventions,"1788 | The United States Constitution was ratified on June 21. It includes what is now known as the intellectual property clause: Article I, Section 8, Clause 8.",high,https://www.uspto.gov/patents/milestones,Patent history,Milestones in U.S. patenting | USPTO,uspto.gov,verified
FACT-2027-03-01-S14,1,2027-03-01,"The first Patent Board consisted of Thomas Jefferson, Henry Knox, and Edmund Randolph and began examining patents after the first patent statute was passed.",14,March,First Patent Board,Inventions,"After the passage of the act, the first Patent Board, made up of Secretary of State Thomas Jefferson, Secretary of War Henry Knox, and Attorney General Edmund Randolph, began examining patents.",high,https://www.uspto.gov/patents/milestones,Patent history,Milestones in U.S. patenting | USPTO,uspto.gov,verified
FACT-2027-03-01-S15,1,2027-03-01,The heart is about the size of a fist.,15,March,Heart size,Human Body,"The source states, “The heart is an organ, about the size of a fist.”",high,https://www.cdc.gov/heart-defects/how-the-heart-works/index.html,Cardiovascular system,How the Heart Works | Congenital Heart Defects (CHDs) | CDC,cdc.gov,verified
FACT-2027-03-01-S16,1,2027-03-01,The heart is made of muscle and pumps blood through the body.,16,March,Heart pumping function,Human Body,"The source states, “The heart is made of muscle and pumps blood through the body.”",high,https://www.cdc.gov/heart-defects/how-the-heart-works/index.html,Cardiovascular system,How the Heart Works | Congenital Heart Defects (CHDs) | CDC,cdc.gov,verified
FACT-2027-03-01-S17,1,2027-03-01,"Wilbur Olin Atwater was born in Upstate New York on May 3, 1844.",17,March,Atwater's birth,Food,"The source states: ""Atwater was born in Upstate New York on May 3, 1844, but was reared in Vermont.""",high,https://www.ars.usda.gov/oc/timeline/nutrition/,Food science history,nutrition : USDA ARS,ars.usda.gov,verified
FACT-2027-03-01-S18,1,2027-03-01,Atwater attended the University of Vermont for two years and graduated from Wesleyan University.,18,March,Atwater's education,Food,"The source states: ""He attended the University of Vermont for 2 years and graduated from Wesleyan University in Middletown, Connecticut.""",high,https://www.ars.usda.gov/oc/timeline/nutrition/,Food science history,nutrition : USDA ARS,ars.usda.gov,verified
