ID,Day,Date,Fact,Slot,Month,Title,Category,Evidence,Confidence,Source URL,Subcategory,Source title,Source domain,Verification status
FACT-2027-07-01-S01,1,2027-07-01,The giant panda belongs to the class Mammalia.,1,July,Mammal classification,Animals,Class: Mammalia,high,https://nationalzoo.si.edu/animals/giant-panda,Taxonomy,Smithsonian Giant Panda,nationalzoo.si.edu,verified
FACT-2027-07-01-S02,1,2027-07-01,"Alligator snapping turtles hunt by using their thin, worm-like tongues to lure prey.",2,July,Alligator snapping turtles use their tongues as lures,Animals,"The alligator snapping turtle hunts by using its thin, worm-like tongue as a lure to bait prey.",high,https://nationalzoo.si.edu/animals/news/7-spooktacular-animal-facts-halloween,Feeding behavior,Smithsonian Animal Facts,nationalzoo.si.edu,verified
FACT-2027-07-01-S03,1,2027-07-01,A landform is a feature on Earth's surface that is part of the terrain.,3,July,Definition of a landform,Geography,The page states that a landform is a feature on Earth's surface that is part of the terrain.,high,https://education.nationalgeographic.org/resource/landform/,Landforms,National Geographic Landform,education.nationalgeographic.org,verified
FACT-2027-07-01-S04,1,2027-07-01,"A tectonic plate is a massive slab of solid rock made up of Earth's lithosphere, including the crust and upper mantle.",4,July,Tectonic plate definition,Geography,The glossary defines a tectonic plate as a massive slab of solid rock made up of Earth's lithosphere (crust and upper mantle).,high,https://education.nationalgeographic.org/resource/landform/,Earth Structure,National Geographic Landform,education.nationalgeographic.org,verified
FACT-2027-07-01-S05,1,2027-07-01,Melanin absorbs ultraviolet light and protects skin from sun damage.,5,July,Melanin protects against ultraviolet light,Human Body,The page states that melanin absorbs ultraviolet light and protects against sun damage.,high,https://ncbi.nlm.nih.gov/books/NBK20361/,Skin,NIH Musculoskeletal and Skin Systems,ncbi.nlm.nih.gov,verified
FACT-2027-07-01-S06,1,2027-07-01,"At age 12, Ralph Teetor designed and built a 3 hp motor car capable of reaching a speed of up to 12 mph.",6,July,Cruise Control,Inventions,"Ralph Teetor fact sheet, item 5",high,https://www.invent.org/sites/default/files/2024-02/2024-Inductee-Listicle-Fact-Sheets.pdf,Automotive Technology,National Inventors Hall of Fame Fact Sheets,www.invent.org,verified
FACT-2027-07-01-S07,1,2027-07-01,Human beings commonly acquire spoken or signed language without systematic instruction.,7,July,Language is commonly acquired without systematic instruction,Language,“that is commonly acquired by human beings without systematic instruction”,high,https://www.britannica.com/topic/writing/History-of-writing-systems,Language acquisition,Britannica Writing Systems,www.britannica.com,verified
FACT-2027-07-01-S08,1,2027-07-01,Monetarism gained prominence in the 1970s.,8,July,Rise of monetarism,Money & Economics,“Monetarism gained prominence in the 1970s.”,high,https://www.imf.org/external/pubs/ft/fandd/basics/pdf/jahan_money.pdf,History of Economic Thought,IMF Monetarism,www.imf.org,verified
FACT-2027-07-01-S09,1,2027-07-01,Storm systems fueled by warm ocean waters provide fresh water vital to all living things.,9,July,Storm systems provide fresh water,Nature,Warm ocean waters provide the energy to fuel storm systems that provide fresh water vital to all living things.,high,https://oceanservice.noaa.gov/facts/ocean_weather.html,Precipitation,NOAA Ocean Weather,oceanservice.noaa.gov,verified
FACT-2027-07-01-S10,1,2027-07-01,Subduction is the process of oceanic lithosphere descending beneath continental lithosphere.,10,July,Subduction,Science,Subduction is the process of the oceanic lithosphere colliding with and descending beneath the continental lithosphere.,high,https://www.usgs.gov/programs/earthquake-hazards/cool-earthquake-facts,Plate Tectonics,USGS Cool Earthquake Facts,www.usgs.gov,verified
FACT-2027-07-01-S11,1,2027-07-01,The solar system formed about 4.6 billion years ago.,11,July,Solar system formation time,Space,Our solar system formed about 4.6 billion years ago,high,https://science.nasa.gov/solar-system/solar-system-facts/,Formation,NASA Solar System Facts,science.nasa.gov,verified
FACT-2027-07-01-S12,1,2027-07-01,The Complex Number Calculator was operated remotely from Dartmouth using a Teletype terminal connected to New York by telephone lines.,12,July,The Complex Number Calculator demonstrated remote access computing,Technology,The page calls this likely the first example of remote access computing.,high,https://www.computerhistory.org/timeline/computers/,Early Computing,Computer History Timeline,www.computerhistory.org,verified
FACT-2027-07-01-S13,1,2027-07-01,"Apple's iPhone combined a web browser, music player, and cell phone and supported downloadable applications.",13,July,"The iPhone combined phone, browser, and music-player functions",Technology,"The page also lists its touchscreen, GPS, camera, texting, calendar, voice dictation, and weather features.",high,https://www.computerhistory.org/timeline/computers/,Mobile Computing,Computer History Timeline,www.computerhistory.org,verified
