ID,Day,Date,Fact,Slot,Month,Title,Category,Evidence,Confidence,Source URL,Subcategory,Source title,Source domain,Verification status
FACT-2026-09-01-S01,1,2026-09-01,"The solar system includes the Sun, eight planets, five officially named dwarf planets, hundreds of moons, and thousands of asteroids and comets.",1,September,Solar-system composition,Science,"The introduction explicitly lists the Sun, eight planets, five dwarf planets, hundreds of moons, and thousands of asteroids and comets.",high,https://science.nasa.gov/solar-system/solar-system-facts/,Astronomy,Solar System: Facts - NASA Science,science.nasa.gov,verified
FACT-2026-09-01-S02,1,2026-09-01,Our solar system has eight planets.,2,September,The solar system has eight planets,Space,"The source states, “Our solar system has eight planets, and five dwarf planets.”",high,https://science.nasa.gov/solar-system/,Solar-system composition,Solar System Exploration,science.nasa.gov,verified
FACT-2026-09-01-S03,1,2026-09-01,"The bony skeleton provides mobility, support, and protection for the body.",3,September,Skeleton provides structural functions,Human Body,"The source describes the skeleton’s structural function as providing mobility, support, and protection.",high,https://www.ncbi.nlm.nih.gov/books/NBK45504/,Skeletal system,2 The Basics of Bone in Health and Disease,www.ncbi.nlm.nih.gov,verified
FACT-2026-09-01-S04,1,2026-09-01,Sleep is necessary for forming or maintaining brain pathways involved in learning and creating new memories.,4,September,Sleep supports memory pathways,Psychology,"The introduction states that without sleep, people cannot form or maintain pathways in the brain that enable learning and new memories.",high,https://www.ninds.nih.gov/sites/default/files/2025-05/understanding-sleep.pdf,Sleep and cognition,Understanding Sleep (Brain Basics),www.ninds.nih.gov,verified
FACT-2026-09-01-S05,1,2026-09-01,Feline representations remained abundant well beyond the height of the dynastic Egyptian kingdoms.,5,September,Feline representations remained abundant after the Naqada III Period,Animals,The passage says feline representations remained abundant well beyond the height of the dynastic Egyptian kingdoms.,high,https://www.si.edu/stories/eons-viral-kitten-videos-ancient-egyptians-adored-cats,Ancient Egyptian cats,"Eons before Viral Kitten Videos, Ancient Egyptians Adored Cats | Smithsonian Institution",www.si.edu,verified
FACT-2026-09-01-S06,1,2026-09-01,Place is one of the five main themes of geography.,6,September,Place as a geography theme,Geography,The passage identifies place as one of geography’s five main themes.,high,https://education.nationalgeographic.org/resource/place/,Geographic concepts,Place,education.nationalgeographic.org,verified
FACT-2026-09-01-S07,1,2026-09-01,"A Maya vase from the Guatemalan Highlands dates from AD 600–900, the Late Classic Maya period.",7,September,Maya vase date,History,The Vase with Eleven Figures is identified as dating to AD 600–900 and the Late Classic period.,high,https://www.loc.gov/exhibits/exploring-the-early-americas/language-and-context.html,Maya history,Language and Context - Exploring the Early Americas | Exhibitions - Library of Congress,www.loc.gov,verified
FACT-2026-09-01-S08,1,2026-09-01,"The solar system includes eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",8,September,The solar system has eight planets,Technology,The source states that the solar system has eight named planets.,high,https://science.nasa.gov/solar-system/planets/,Solar system composition,About the Planets,science.nasa.gov,verified
FACT-2026-09-01-S09,1,2026-09-01,The Oort Cloud has never been directly observed.,9,September,The Oort Cloud has not been directly observed,Mystery & Unexplained,NASA states that the Oort Cloud has never been directly observed.,high,https://science.nasa.gov/solar-system/solar-system-facts/,Unobserved Solar-System Structures,Solar System: Facts - NASA Science,science.nasa.gov,verified
FACT-2026-09-01-S10,1,2026-09-01,"Writing was independently invented in five areas of the ancient world: Mesopotamia, Egypt, China, the Indus Valley, and Mesoamerica.",10,September,Independent invention of writing,Ancient Civilizations,"“Writing was independently invented in five areas of the ancient world: Mesopotamia, Egypt, China, the Indus Valley, and Mesoamerica.”",high,https://www.loc.gov/exhibits/exploring-the-early-americas/language-and-context.html,Maya writing,Language and Context - Exploring the Early Americas | Exhibitions - Library of Congress,www.loc.gov,verified
